SA1_Code,Suburb,District,best_straight_200m_weekday_peak,best_straight_200m_weekday_offpeak,best_straight_200m_saturday,best_straight_200m_sunday,best_straight_400m_weekday_peak,best_straight_400m_weekday_offpeak,best_straight_400m_saturday,best_straight_400m_sunday,best_straight_600m_weekday_peak,best_straight_600m_weekday_offpeak,best_straight_600m_saturday,best_straight_600m_sunday,best_straight_800m_weekday_peak,best_straight_800m_weekday_offpeak,best_straight_800m_saturday,best_straight_800m_sunday,best_walking_200m_weekday_peak,best_walking_200m_weekday_offpeak,best_walking_200m_saturday,best_walking_200m_sunday,best_walking_400m_weekday_peak,best_walking_400m_weekday_offpeak,best_walking_400m_saturday,best_walking_400m_sunday,best_walking_600m_weekday_peak,best_walking_600m_weekday_offpeak,best_walking_600m_saturday,best_walking_600m_sunday,best_walking_800m_weekday_peak,best_walking_800m_weekday_offpeak,best_walking_800m_saturday,best_walking_800m_sunday
80101100101,Aranda,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100102,Aranda,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100103,Aranda,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100104,Aranda,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100105,Aranda,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100106,Aranda,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100201,Belconnen,Belconnen,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,,,,,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185
80101100202,Belconnen,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100203,Belconnen,Belconnen,,,,,,,,,,,,,8.986301369863014,4.8023255813953485,9.908256880733944,9.94186046511628,,,,,,,,,,,,,,,,
80101100205,Belconnen,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100208,Belconnen,Belconnen,,,,,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,,,,,,,,,,,,,,,,
80101100209,Belconnen,Belconnen,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185
80101100210,Belconnen,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100211,Belconnen,Belconnen,,,,,,,,,14.6,5.712328767123288,11.868131868131869,20.0,8.986301369863014,4.8023255813953485,9.908256880733944,9.94186046511628,,,,,,,,,,,,,,40.0,,
80101100212,Belconnen,Belconnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101100213,Belconnen,Belconnen,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185
80101100215,Belconnen,Belconnen,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185,,,,,,,,,,,,,14.304347826086955,5.859154929577465,11.88888888888889,19.627906976744185
