financial_year,passenger_cars,commercial_vehicles,motor_cycles,heavy_rail,light_rail,bus,ferry,total
1976-77,1.9923303637912186,0.16431590701857557,0.02135071357918752,na,na,0.09272028811972952,na,2.269433431122544
1977-78,2.0777909470890785,0.17543460876833647,0.023003177411456167,na,na,0.09563985170096499,na,2.3705281956025805
1978-79,2.1518566641608396,0.1812421896421978,0.024605725402203554,na,na,0.1079709878778932,na,2.4641438563507685
1979-80,2.1718834000283436,0.1803631540951857,0.027175463077591302,na,na,0.12483360841564271,na,2.5024629508530842
1980-81,2.2040916019992642,0.18455952972104106,0.029423798306576234,na,na,0.12116045352299878,na,2.5374739978423078
1981-82,2.337152774087532,0.19009538625966171,0.03303788397833342,na,na,0.11755560872037034,na,2.676095322108153
1982-83,2.3717918074678477,0.18687998647598908,0.034463077216079684,na,na,0.140744357548355,na,2.7317426580099684
1983-84,2.490200613513401,0.20293892278449913,0.03643848369491565,na,na,0.1599122668111171,na,2.8870095258523194
1984-85,2.6160553610326818,0.21413807500584803,0.037949503495699595,na,na,0.16939110896506118,na,3.0349298915503957
1985-86,2.7420481167476436,0.22237962467905073,0.03577855060428821,na,na,0.16455895351426789,na,3.1622353763867372
1986-87,2.8229904410620885,0.22822257607586452,0.03496940218856016,na,na,0.17369253671351012,na,3.257204670514312
1987-88,2.9868784059871234,0.23851168460597727,0.03459273849660488,na,na,0.18016985843239142,na,3.437382822021571
1988-89,3.158406004139702,0.24740764925413078,0.03724555879454846,na,na,0.18053503555106115,na,3.62081876813947
1989-90,3.2937575868598232,0.2504339187585951,0.03463844593502663,na,na,0.18656922626304373,na,3.762460154088337
1990-91,3.3423535594107947,0.24582003529304694,0.032253921899084034,na,na,0.18800646024741016,na,3.80539738154644
1991-92,3.449099688656203,0.24964356919802275,0.029368324541372937,na,na,0.1854704790317663,na,3.9105701397585566
1992-93,3.5929303074787318,0.25627627524348057,0.028035655313234868,na,na,0.18233125420673593,na,4.056609741935742
1993-94,3.6968075791191874,0.26404825797471404,0.026826087928269585,na,na,0.17943807033595358,na,4.164176227890287
1994-95,3.7932353735466307,0.2796683214688238,0.026269859872800165,na,na,0.1881749816585801,na,4.284232834574493
1995-96,3.822437236707236,0.28752918180518616,0.025304591792847622,na,na,0.19186616745036636,na,4.323685753912668
1996-97,3.8286814301015126,0.28487258999502385,0.02496304348107867,na,na,0.19510939269982402,na,4.33001037820882
1997-98,3.844712057459061,0.2912176545197936,0.02381183234758719,na,na,0.19204345128794145,na,4.34779347294606
1998-99,3.9343976770926616,0.29418980506114234,0.02287976485599284,na,na,0.1827625780236227,na,4.430119363119852
1999-00,4.0199314701611435,0.2968484526289777,0.023222849935011676,na,na,0.18345286404180863,na,4.519005614210662
2000-01,3.9461954585330687,0.297939958333277,0.024003904375807877,na,na,0.1809827743384779,na,4.44440132838445
2001-02,4.023233888884502,0.3093816071733428,0.025567310004531656,na,na,0.18391091831898657,na,4.537214900741588
2002-03,4.155363341455717,0.3181582221078469,0.025083544288323077,na,na,0.19163980821294913,na,4.685074325432592
2003-04,4.3372501623300055,0.32595275768094184,0.026195431640724767,na,na,0.19385457602515033,na,4.877888666387004
2004-05,4.337619149227731,0.32576425318482627,0.028085223637788134,na,na,0.19684252391780596,na,4.882675632735438
2005-06,4.28055441471228,0.3312552330514043,0.03046092195296808,na,na,0.19974064741306885,na,4.8360913516191255
2006-07,4.327723483785223,0.3441504301629899,0.03351810723209689,na,na,0.1975885437480227,na,4.896882087118993
2007-08,4.348463974376128,0.3590490621818578,0.036477288688449405,na,na,0.19900311216799937,na,4.936646059470143
2008-09,4.351059712888723,0.36721417511592463,0.03878353023313303,na,na,0.2027565027581021,na,4.952702473688303
2009-10,4.383869502011305,0.3786419333154189,0.04085261563263359,na,na,0.19645841107200002,na,4.988912601324998
2010-11,4.427738100804855,0.3921237984397159,0.03975152809584927,na,na,0.1961002942500084,na,5.041816807455096
2011-12,4.5050353859150185,0.4050862840249593,0.0384254763871801,na,na,0.20052303582830694,na,5.13202487440693
2012-13,4.623159763104509,0.417149418705478,0.038468657955969654,na,na,0.20786400814607592,na,5.26531576539916
2013-14,4.678521086845025,0.4301408068473215,0.03880237693193395,na,na,0.20780874404699132,na,5.331657777937724
2014-15,4.716320709537911,0.4426257541656576,0.03890985462992071,na,na,0.21050276838984117,na,5.3803173992967155
2015-16,4.729752162028435,0.4556117333196627,0.03906549404844039,na,na,0.2164252478879778,na,5.409575423649365
2016-17,4.761743977725144,0.4732443400580412,0.038946734946533126,na,na,0.2223423037364599,na,5.464909663000421
2017-18,4.792771164918735,0.49268158117810124,0.03875200127180046,na,na,0.23293074908657596,na,5.5223517995604166
2018-19,4.7773288937748495,0.4965796404287988,0.0380070130532483,na,0.0097006,0.23443870805649467,na,5.521205517621052
2019-20,4.51411089006794,0.48652365725520047,0.03325234872947891,na,0.040702749999999996,0.1742085477394441,na,5.2088597368550875
2020-21,4.768175525220005,0.4983242067146632,0.03424991919136328,na,0.03325024582681726,0.14497644169676743,na,5.44958662242446
2021-22,4.457261363332278,0.5123141908445622,0.034934917575190544,na,0.026439875,0.11772860099577713,na,5.123806992759659
2022-23,4.778817746170474,0.5240836058862706,0.03592501003038203,na,0.04225538515,0.16881879553310525,na,5.513762002373933
2023-24,4.9048863736087895,0.5415186476906462,0.03595363431066591,na,0.04752,0.18930741184866196,na,5.719186067458764
Source: BITRE estimates.,,,,,,,,
