Sydney,Runs,5416
Sydney,Avg,45.37
Launceston,Runs,2657
Launceston,Avg,44.8
Cape Town,Runs,4501
Cape Town,Avg,44.29
Delhi,Runs,3172
Delhi,Avg,36.53
Mumbai,Runs,3938
Mumbai,Avg,35.51
