FID,la_s_code,local_authority,uprn,address,url,opening_hours,facilities,sh_date_uploaded,sh_src,sh_src_id
pub_lib.108,S12000035,Argyll and Bute,,"LOCHGILPHEAD LIBRARY, MANSE BRAE, LOCHGILPHEAD, PA31 8QX",http://www.liveargyll.co.uk/library/lochgilphead-library,,"Computers, Bookbug, Regular classes, Events",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,40
pub_lib.109,S12000035,Argyll and Bute,,"OBAN LIBRARY, 77 ALBANY STREET, OBAN, PA34 4AW",http://www.liveargyll.co.uk/library/oban-library,,"Computers, Regular classes and events, Bookbug",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,41
pub_lib.110,S12000035,Argyll and Bute,,"ROTHESAY LIBRARY, MOAT CENTRE, STUART STREET, ROTHESAY, ISLE OF BUTE, PA20 0BX",http://www.liveargyll.co.uk/library/rothesay-library,,"Regular classes and events, Bookbug",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,42
pub_lib.111,S12000035,Argyll and Bute,,"ROSNEATH LIBRARY, ROSNEATH PRIMARY SCHOOL, ROSNEATH, G84 0RJ",http://www.liveargyll.co.uk/library/rosneath-library,,"Computers, Regular classes and events, Bookbug",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,43
pub_lib.112,S12000035,Argyll and Bute,,"TARBERT LIBRARY, HARBOUR STREET, TARBERT PA29 6UA",http://www.liveargyll.co.uk/library/tarbert-library,,"Computers, Regular classes and events, Bookbug",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,44
pub_lib.113,S12000005,Clackmannanshire,35005524,"SPEIRS CENTRE, PRIMROSE PLACE, ALLOA, FK10 1AD",http://www.clacksweb.org.uk/culture/alloaspeirscentre,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,150
pub_lib.114,S12000005,Clackmannanshire,35009377,"153, WEST STIRLING STREET, ALVA, FK12 5EL",http://www.clacksweb.org.uk/culture/alvacap/,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,151
pub_lib.115,S12000005,Clackmannanshire,35012698,"THE HIVE, PARK PLACE, DOLLAR, FK14 7AA",http://www.clacksweb.org.uk/culture/dollarcap/,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,153
pub_lib.116,S12000005,Clackmannanshire,35014257,"DUMYAT CENTRE, MAIN STREET EAST, MENSTRIE, FK11 7BL",http://www.clacksweb.org.uk/culture/menstriecap/,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,154
pub_lib.117,S12000005,Clackmannanshire,35015996,"42-48, MAIN STREET, SAUCHIE, FK10 3JY",http://www.clacksweb.org.uk/culture/sauchiecap/,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,155
pub_lib.118,S12000005,Clackmannanshire,35019139,"BEN CLEUCH CENTRE, PARK STREET, TILLICOULTRY, FK13 6AG",http://www.clacksweb.org.uk/culture/tillicoultrycap/,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,156
pub_lib.119,S12000005,Clackmannanshire,35022689,"CIVIC CENTRE, ABERCROMBY PLACE, TULLIBODY, FK10 2RS",http://www.clacksweb.org.uk/culture/tullibodylibrary/,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,157
pub_lib.120,S12000005,Clackmannanshire,35201499,"CLACKMANNAN LIBRARY, MAIN STREET, CLACKMANNAN, FK10 4JA",http://www.clacksweb.org.uk/culture/clackmannancap/,,,2025-10-23,a49475e0-6fd0-4b83-8ba3-4d2217d60655,152
