route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
3-10647,2023-COMBNXT-Weekday-11,68041342-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041343-2023-COMBNXT-Weekday-11,Airport,1,30599,1,0
3-10647,2023-COMBNXT-Weekday-11,68041344-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041345-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041346-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041347-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041348-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041349-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041350-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041351-2023-COMBNXT-Weekday-11,Airport,1,30599,1,0
3-10647,2023-COMBNXT-Weekday-11,68041352-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041353-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041354-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041355-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041356-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041357-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041358-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041359-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041360-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041361-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041362-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041363-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041364-2023-COMBNXT-Weekday-11,Airport,1,30599,1,1
3-10647,2023-COMBNXT-Weekday-11,68041365-2023-COMBNXT-Weekday-11,City,1,30601,1,1
3-10647,2023-COMBNXT-Weekday-11,68041366-2023-COMBNXT-Weekday-11,City,1,30601,1,1
3-10647,2023-COMBNXT-Weekday-11,68041367-2023-COMBNXT-Weekday-11,City,1,30601,1,1
4-10647,2023-COMBNXT-Weekday-11,68041368-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041369-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
