SA1_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
80101101902,0,0,0,0,9,3,6,3,0,23,5,0,0,0,23,17,3,4,0,48,0,3,0,7,19,9,0,6,0,38,0,0,0,0,6,3,0,9,0,19,0,0,0,0,11,0,0,0,0,18,0,3,0,0,0,0,0,4,0,11,0,0,0,0,4,0,3,0,0,14,0,3,5,0,5,4,3,4,0,21,0,0,0,0,0,3,0,0,0,4,3,12,3,12,69,38,17,29,0,185,3,0,5,0,9,7,0,5,0,28,3,0,5,7,19,3,0,4,0,45,0,0,0,0,3,0,0,0,0,8,3,9,4,0,7,4,0,0,0,37,4,3,10,0,22,3,0,0,0,50,0,4,0,5,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,16,25,20,73,22,3,11,0,187
80101101904,0,0,0,0,4,11,5,0,0,22,0,0,3,0,9,9,4,7,0,38,0,0,0,0,6,0,6,0,0,7,0,0,4,0,3,4,0,0,0,12,0,0,0,0,9,6,3,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,8,0,4,3,0,3,0,22,0,0,0,0,0,0,0,0,0,4,0,8,17,0,36,31,15,17,0,131,0,0,4,0,8,7,5,0,0,25,4,3,3,5,8,9,3,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,4,5,9,0,3,0,0,19,9,0,8,0,12,4,3,3,0,29,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,16,20,13,37,18,15,8,0,137
80101101905,0,0,0,0,3,0,0,5,0,12,0,0,0,6,15,16,0,4,0,41,0,0,4,3,9,10,0,4,0,34,0,0,0,0,10,8,0,4,0,20,0,5,0,0,7,3,0,0,0,13,0,0,0,0,3,4,0,0,0,9,0,0,0,0,0,0,4,7,0,7,0,6,0,0,0,5,0,3,0,8,0,0,0,0,0,0,0,0,0,4,3,11,12,10,51,37,7,22,0,148,0,0,0,0,4,3,0,7,0,19,6,0,4,3,10,3,0,7,0,34,0,0,3,0,5,0,0,0,0,12,0,10,3,6,7,0,0,0,0,23,0,0,7,4,14,9,0,5,0,39,0,0,4,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,6,13,19,11,32,28,12,10,0,137
80101101906,0,0,0,0,5,0,4,5,0,12,0,0,3,0,4,5,4,3,0,18,0,0,0,0,9,7,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,11,4,19,16,11,11,0,82,0,0,0,0,5,7,6,3,0,16,0,0,6,6,7,10,3,0,0,29,0,0,0,0,0,0,0,0,0,6,0,5,9,0,0,4,0,0,0,14,0,0,6,0,5,0,0,0,0,13,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,7,17,12,22,15,3,5,0,83
80101101907,5,0,3,0,0,4,4,4,0,24,0,0,0,4,9,10,3,5,0,30,0,0,0,0,8,5,0,7,0,19,0,3,3,0,0,9,0,5,0,20,0,0,0,0,9,3,3,0,0,10,0,0,3,0,0,0,0,0,0,5,0,0,0,0,4,0,0,5,0,11,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,8,10,9,10,26,33,11,26,0,138,0,0,6,4,3,5,0,0,0,18,0,4,5,5,13,12,4,0,0,41,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,16,0,11,9,5,18,6,4,0,0,48,0,9,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,8,27,21,13,38,18,4,5,0,140
80101101908,0,0,0,0,5,10,3,8,0,29,0,8,0,4,8,4,4,4,0,37,0,0,0,0,9,7,0,6,0,23,0,0,3,0,3,0,0,0,0,11,0,0,0,0,3,0,0,0,0,11,0,7,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,5,10,0,14,12,11,30,27,12,16,5,137,0,3,0,4,11,0,4,9,0,28,3,4,3,0,8,4,3,0,0,21,0,0,0,0,0,4,0,0,0,7,6,7,4,4,6,0,0,0,0,23,0,5,3,0,9,8,0,0,0,22,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,20,10,28,16,12,9,0,119
80101101909,0,0,0,0,4,9,0,0,0,19,0,0,0,0,8,0,0,3,0,18,0,4,3,4,6,6,0,3,0,23,6,0,0,0,5,7,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,5,9,8,26,24,5,14,0,102,3,0,0,5,9,8,0,5,0,19,8,3,3,0,5,10,0,0,0,36,0,0,3,0,0,3,0,0,0,8,4,0,3,0,6,0,5,0,0,14,0,0,4,3,7,3,0,0,0,21,0,6,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,9,23,16,25,19,3,7,0,111
80101101910,0,0,0,0,0,0,0,3,0,10,0,0,0,0,5,8,0,0,0,18,0,3,0,0,3,12,0,5,0,24,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,8,11,24,30,7,12,0,88,0,0,3,6,0,10,0,7,0,17,5,0,4,0,3,5,0,0,0,20,0,0,0,0,3,0,0,0,0,4,0,0,0,3,4,0,0,0,0,8,0,4,0,0,6,3,0,0,0,18,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,24,9,20,13,0,5,0,80
80101101911,0,0,0,0,4,5,0,7,0,13,0,0,0,0,9,12,0,3,0,26,0,6,0,6,8,16,0,4,0,42,0,0,0,0,0,0,0,5,0,5,0,0,0,0,8,0,0,0,0,11,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,13,0,5,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,5,3,14,13,5,24,40,5,21,4,136,0,0,0,0,0,3,0,0,0,10,0,6,3,0,9,9,0,3,0,30,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,0,13,0,7,6,3,11,7,5,0,0,35,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,17,10,7,30,20,7,8,0,110
80101101912,0,0,0,0,4,0,0,5,0,14,0,0,0,0,7,4,0,3,0,22,0,0,0,0,7,3,0,4,0,24,0,0,0,0,3,4,0,0,0,9,3,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,8,10,7,3,25,20,0,16,0,94,0,0,0,0,3,4,0,0,0,10,0,0,4,4,7,0,0,0,0,11,0,0,4,0,5,0,0,0,0,6,0,3,4,5,3,0,0,0,0,15,0,6,3,0,10,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,12,13,4,29,12,4,5,0,79
