SA1_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
80104103928,0,4,0,0,0,8,3,0,10,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,38,24,13,0,111
80104103929,4,4,0,0,0,13,4,0,8,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,48,13,56,26,21,0,167
80104104001,0,15,5,0,0,36,4,4,10,6,4,0,24,0,0,3,0,0,0,3,0,0,0,0,6,0,5,0,0,0,0,0,0,3,71,17,116,37,44,5,290
80104104002,0,6,0,0,0,16,4,4,8,3,0,0,12,0,0,0,0,0,0,6,0,0,0,0,3,0,6,0,0,3,0,0,0,3,33,10,64,22,28,7,162
80104104005,3,5,0,3,0,14,0,0,7,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,34,7,55,11,28,8,142
80104104006,0,7,3,0,0,15,4,0,3,0,4,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,5,0,0,7,25,7,48,25,27,0,139
80104104007,0,9,0,3,0,25,3,0,9,3,4,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,3,6,40,9,79,30,38,7,194
80104104008,4,8,3,6,0,33,4,0,8,15,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,3,7,56,13,73,55,41,5,245
80104104011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104013,0,4,3,0,0,11,5,0,3,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,22,9,37,20,25,0,117
