SA1_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80107108219,0,3,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,6,0,4,16,43,34,23,62,48,19,20,0,265
80107108220,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,15,16,24,23,50,40,3,12,3,177
80107108221,0,0,4,0,6,0,0,0,0,9,0,0,0,0,4,0,0,5,0,6,5,19,15,21,52,36,11,26,4,185
80107108222,0,0,0,0,0,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,4,36,15,11,53,43,11,18,0,203
80107108223,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,16,13,6,39,30,10,16,0,134
80107108224,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,10,33,21,18,45,47,9,24,3,207
80107108225,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,15,12,12,26,45,6,19,4,138
80107108226,0,0,0,0,3,0,0,0,0,4,0,0,5,0,5,0,0,0,0,8,6,13,21,22,62,47,17,23,0,216
80107108227,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,25,31,15,51,45,12,26,0,209
80107108228,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,7,17,11,11,22,18,4,3,4,91
80107108229,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,38,24,26,40,52,16,35,0,242
80107108230,0,4,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,14,14,6,13,33,35,10,14,0,143
80107108231,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,10,21,31,14,42,38,11,12,5,167
80107108232,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,33,19,12,29,35,12,19,0,171
80107108233,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,23,20,18,28,29,7,12,6,145
80107108234,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,12,13,13,44,37,4,9,3,149
80107108235,0,9,0,0,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,7,12,42,33,25,86,62,23,28,0,307
80107108236,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,3,12,38,23,27,54,64,22,24,0,257
80107108237,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,13,31,22,14,36,40,16,38,0,206
80107108238,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,18,28,19,11,26,38,11,23,4,180
80107108239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,15,16,35,35,12,25,3,167
80107108240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,16,5,21,32,10,10,0,124
80107108241,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,18,32,32,13,52,54,10,25,4,235
80107108301,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,18,30,31,24,57,67,29,24,0,279
80107108302,0,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,6,11,31,33,15,46,62,15,27,0,244
80107108303,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,7,10,19,33,15,62,44,17,25,3,226
80107108401,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,6,8,12,26,27,15,9,0,110
80107108402,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,19,16,12,31,27,3,10,0,134
80107108403,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,6,7,23,7,13,40,54,4,12,0,170
80107108404,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,3,12,17,21,17,52,42,11,17,0,187
80107108405,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,29,22,17,43,46,8,29,0,194
80107108406,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,8,9,22,5,30,28,10,15,0,129
80107108407,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,14,13,9,42,29,19,22,3,154
80107108408,0,0,0,0,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,17,28,10,16,55,51,19,26,0,221
80107108409,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,3,7,14,13,6,41,27,10,14,0,142
80107108410,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,22,9,4,38,26,6,11,3,132
80107108411,0,0,0,3,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,3,14,25,23,15,50,46,7,17,3,203
80107108412,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,11,17,22,11,44,37,13,23,0,190
80107108413,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,6,13,6,32,25,14,15,0,124
80107108414,0,0,4,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,23,10,7,47,38,8,12,0,154
80107108415,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,12,32,16,44,41,11,15,4,179
80107108417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,18,12,33,23,4,13,8,131
80107108418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,13,9,29,29,11,11,0,115
80107108419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,15
80107108501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108601,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,14,17,17,34,38,5,14,0,145
