SA1_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
80105112502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,266,8,0,0,0,0,0,0,279,0,37,0,0,0,0,0,0,0,38,0,324,9,7,0,0,0,0,0,342,0,4,0,0,0,0,0,0,0,3,0,31,6,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,904,24,8,0,0,0,0,0,938
80105112601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80105112602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80105112701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,13,4,7,3,6,11,5,3,0,0,36,0,7,0,5,5,0,0,0,0,17,8,21,10,6,19,19,16,6,0,106,0,0,0,0,0,10,14,4,0,26,0,8,0,0,4,12,4,0,0,25,0,0,0,0,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,0,19,0,0,0,0,0,0,9,5,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,4,3,0,11,0,4,6,8,8,7,3,4,0,49,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,5,10,0,0,29,11,18,27,11,26,16,6,0,0,115
80105112702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,16,8,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,8,4,7,0,0,4,0,37,16,19,41,14,3,12,4,3,0,120,0,4,3,5,0,0,3,0,0,11,22,31,70,32,19,18,12,11,7,215,0,0,0,0,0,4,3,6,3,23,0,4,19,12,4,5,3,0,0,51,0,0,0,0,3,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,3,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,27,6,4,7,0,0,0,61,0,0,0,0,0,0,0,0,0,0,5,4,11,6,13,4,3,9,0,61,33,54,100,38,20,14,12,9,0,271
80105112703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,8,8,8,3,6,4,3,0,35,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,4,4,4,3,25,11,33,24,15,14,22,16,4,0,132,4,0,5,0,5,0,0,0,0,17,13,50,43,25,26,44,39,15,9,254,0,0,0,0,3,13,12,16,5,49,0,9,8,4,4,12,5,3,0,38,0,0,0,0,6,3,4,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,13,0,0,0,0,0,4,7,4,4,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,7,0,17,11,7,9,7,4,0,0,53,0,0,0,0,0,0,0,0,0,6,0,3,12,0,8,11,8,4,3,49,28,57,56,33,27,45,34,3,3,285
80105112704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,3,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,21,11,6,14,5,14,12,8,0,96,5,5,0,0,0,0,6,0,0,12,25,21,6,19,16,30,26,13,0,155,0,0,0,3,0,11,11,9,0,38,0,7,0,3,3,4,6,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,14,0,0,0,0,0,10,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,10,8,0,6,7,4,0,0,34,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,5,9,0,27,38,29,16,18,18,30,22,10,0,179
80105112801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80106106201,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,4,3,12,0,3,3,0,0,3,6,3,3,21,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,7,12,9,35,16,9,9,19,6,13,7,19,7,106,0,0,0,0,0,0,3,3,3,12,21,14,16,28,20,24,40,77,49,283,0,0,0,4,4,6,18,43,34,112,0,5,4,0,3,9,9,3,6,43,0,0,0,0,0,8,9,10,18,39,0,0,0,0,0,0,3,7,8,11,0,0,0,0,4,0,3,15,3,33,0,0,0,0,3,3,12,22,27,63,0,0,0,0,0,0,4,4,10,14,0,0,0,0,0,0,3,11,5,26,0,3,0,3,0,8,5,3,6,33,0,0,0,0,0,0,5,3,3,9,0,0,5,4,3,6,16,16,13,59,28,19,15,36,18,22,16,25,9,184
80106106202,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,13,3,6,5,3,0,0,0,33,0,0,0,0,0,0,0,0,3,3,6,6,0,3,7,4,0,3,0,30,33,39,12,15,30,20,22,4,0,179,0,0,0,0,0,3,4,0,0,17,45,66,21,30,48,30,34,19,3,288,0,0,4,3,9,7,9,9,5,39,3,9,0,4,10,9,10,3,0,44,0,0,0,6,0,5,4,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,15,0,0,0,0,0,0,0,10,0,9,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,18,3,9,7,3,5,0,0,36,0,0,0,0,0,0,0,4,3,6,7,15,0,3,10,8,4,3,4,50,63,62,26,31,47,41,29,14,0,320
