SA1_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80107108303,0,0,0,5,13,16,7,9,0,50,0,0,11,3,18,17,6,6,0,63,0,0,3,3,4,0,0,4,0,17,3,3,0,0,6,3,0,0,0,22,0,0,9,4,14,3,4,0,0,34,0,9,3,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,5,12,10,19,33,15,62,44,17,25,3,226
80107108401,0,0,0,3,0,3,4,0,0,18,0,0,0,0,8,5,0,4,0,24,0,0,0,0,7,0,6,0,0,18,0,0,0,4,0,3,0,0,0,7,0,0,0,0,5,5,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,5,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,6,6,8,12,26,27,15,9,0,110
80107108402,0,4,3,0,8,5,0,5,0,28,0,5,4,5,10,11,0,3,0,42,4,0,0,0,6,4,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,5,0,0,5,0,5,0,0,25,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,13,19,16,12,31,27,3,10,0,134
80107108403,4,0,0,3,3,4,0,3,0,25,0,9,5,3,19,13,3,7,0,55,0,0,0,0,6,10,0,4,0,23,0,8,5,3,7,4,0,0,0,22,3,0,0,0,4,8,0,0,0,24,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,3,9,7,23,7,13,40,54,4,12,0,170
80107108404,5,3,3,0,10,6,6,0,0,37,0,4,5,6,15,18,6,5,0,56,0,0,0,0,0,4,0,0,0,14,0,0,4,6,0,4,0,0,0,15,3,5,5,3,20,8,0,0,0,43,0,7,3,0,5,0,0,0,0,16,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,17,21,17,52,42,11,17,0,187
80107108405,0,4,0,0,12,9,3,15,0,45,5,8,10,7,13,16,5,10,0,68,0,0,0,0,6,3,3,9,0,23,0,3,0,0,3,0,0,0,0,17,0,0,3,3,9,4,0,0,0,26,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,29,22,17,43,46,8,29,0,194
80107108406,0,0,0,0,6,3,0,0,0,17,0,0,8,5,11,6,5,7,0,34,0,3,0,0,4,12,5,8,0,22,0,0,3,0,0,0,0,0,0,9,0,0,6,0,10,4,5,6,0,24,0,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,8,9,22,5,30,28,10,15,0,129
80107108407,3,0,0,8,9,8,6,13,0,44,0,0,4,5,12,8,7,8,0,39,0,0,0,0,4,4,0,0,0,15,0,7,0,0,0,5,0,0,0,14,0,0,4,4,11,3,6,0,0,23,0,4,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,13,9,42,29,19,22,3,154
80107108408,3,8,0,6,0,10,3,7,0,42,3,8,0,0,15,19,3,7,0,58,0,3,0,0,11,4,0,6,0,25,3,3,7,0,3,3,3,3,0,26,8,0,0,0,12,10,5,0,0,40,0,5,0,4,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,9,0,3,0,0,3,3,3,0,0,20,0,0,0,0,0,0,0,0,0,7,17,28,10,16,55,51,19,26,0,221
80107108409,0,0,0,0,9,8,4,4,0,29,0,0,3,3,15,10,0,0,0,34,0,0,3,0,3,5,0,0,0,15,0,8,0,0,4,0,0,0,0,15,0,6,4,0,13,7,0,4,0,31,0,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,7,14,13,6,41,27,10,14,0,142
80107108410,0,0,0,0,8,10,0,4,0,23,0,8,5,0,15,15,4,3,0,42,0,0,0,0,4,3,0,0,0,15,0,4,0,3,4,0,0,0,0,6,0,5,0,0,7,4,0,0,0,20,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,22,9,4,38,26,6,11,3,132
80107108411,0,0,0,0,4,12,5,4,0,33,4,4,10,8,15,9,0,0,0,51,0,0,0,0,9,6,5,7,0,22,0,6,7,5,0,0,0,0,0,20,3,0,6,3,13,12,0,5,0,42,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,4,14,25,23,15,50,46,7,17,3,203
80107108412,0,0,0,0,7,9,6,4,0,27,0,3,12,0,21,17,6,6,0,58,0,0,0,0,0,0,0,0,0,15,0,3,3,0,0,0,0,4,0,19,0,0,4,4,12,5,4,0,0,35,0,4,3,0,0,0,0,0,0,12,0,0,0,0,5,0,0,3,0,8,0,3,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,11,17,22,11,44,37,13,23,0,190
80107108413,0,0,0,0,5,7,0,3,0,21,5,0,3,0,6,4,7,4,0,29,0,0,0,0,5,5,5,5,0,14,0,0,0,0,0,0,6,4,0,6,4,0,0,3,12,0,0,0,0,27,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,11,6,13,6,32,25,14,15,0,124
80107108414,4,0,0,0,6,14,0,4,0,27,4,3,0,0,20,9,0,0,0,35,0,0,0,0,6,8,0,0,0,10,0,4,6,6,4,0,0,0,0,17,0,0,0,3,11,8,0,0,0,32,0,9,4,0,4,4,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,23,10,7,47,38,8,12,0,154
80107108415,0,0,3,3,5,8,7,4,0,21,0,0,3,5,3,6,0,6,0,28,5,3,0,0,8,10,4,3,0,29,0,3,4,0,6,5,5,0,0,23,0,0,8,0,13,3,3,0,0,36,0,0,8,0,5,0,0,0,0,12,0,0,0,0,3,0,0,5,0,3,0,4,3,0,0,7,0,3,3,17,0,0,0,0,0,5,0,0,0,8,10,12,32,16,44,41,11,15,4,179
80107108417,0,0,0,0,4,4,0,5,0,12,0,3,6,4,10,11,0,4,0,34,0,0,0,0,6,0,0,6,0,11,0,3,4,3,0,0,0,0,0,14,0,6,5,0,9,4,0,0,3,33,0,6,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,17,18,12,33,23,4,13,8,131
80107108418,0,0,0,0,4,4,4,0,0,14,0,3,0,3,9,13,0,0,0,31,0,0,0,0,4,3,0,0,0,15,0,0,5,5,3,3,0,0,0,16,0,0,0,4,10,3,3,4,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,9,13,9,29,29,11,11,0,115
80107108419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,15
80107108501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108601,0,0,0,0,3,0,3,4,0,14,0,5,8,0,6,9,0,0,0,37,0,0,0,6,4,8,0,3,0,27,0,3,0,4,0,0,0,0,0,12,0,0,3,8,11,8,0,3,0,37,0,3,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,3,14,17,17,34,38,5,14,0,145
