SA1_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
80104103512,28,15,0,3,0,0,63,0,5,5,3,0,0,0,0,19,0,23,30,14,3,7,0,0,81,4,0,15,9,3,0,0,0,37,3,11,13,14,9,9,3,0,53,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,11,16,11,9,9,3,0,54,0,0,0,0,0,0,0,0,0,9,5,0,6,0,0,0,0,18,22,63,99,64,14,14,4,0,280
80104103513,17,7,4,0,0,0,40,0,0,0,0,0,0,0,0,3,3,27,29,16,0,3,0,0,76,0,5,10,6,7,0,0,0,27,0,14,9,7,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,8,4,0,0,0,34,0,0,0,0,0,0,0,0,3,3,4,3,8,4,0,0,0,22,12,58,67,40,15,5,0,0,203
80104103514,14,9,0,0,0,0,30,0,0,4,3,0,0,0,0,9,5,7,28,12,4,0,0,0,57,0,0,10,3,0,0,0,0,20,4,3,9,9,3,0,0,0,27,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,4,4,3,9,11,4,0,0,0,36,0,0,0,0,0,0,0,0,3,4,0,10,6,0,0,0,0,18,9,16,78,47,22,6,0,0,175
80104103515,16,9,0,0,0,0,37,0,0,5,3,0,0,0,0,9,0,10,26,6,5,3,0,0,57,0,6,9,14,0,0,0,0,24,6,11,6,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,11,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,9,9,30,61,46,13,9,5,0,173
80104103516,40,14,0,0,0,0,69,0,0,4,0,0,0,0,0,6,0,36,31,14,6,8,6,0,93,0,13,8,3,4,0,0,0,37,0,13,12,3,0,0,0,0,37,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,8,14,11,7,0,0,0,0,46,0,0,4,0,0,0,0,0,9,5,6,3,0,0,0,0,0,16,9,85,102,39,16,9,4,0,271
80104103517,13,3,3,0,0,0,29,0,5,0,3,0,0,0,0,3,5,11,21,10,3,0,0,0,48,0,0,12,4,0,5,0,0,20,0,3,14,3,4,0,0,0,24,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,17,9,4,0,0,0,34,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,33,64,25,13,3,4,0,145
80104103518,18,14,0,0,0,0,41,0,5,5,0,0,0,0,0,13,4,24,27,14,7,3,0,0,80,0,8,13,13,5,3,4,0,41,5,9,11,9,4,3,0,0,34,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,5,11,11,5,4,3,0,0,40,0,0,0,0,0,0,0,0,4,3,10,9,4,0,0,0,0,23,18,65,78,52,19,10,5,0,237
80104103519,20,4,0,0,0,0,34,0,0,3,0,0,0,0,0,9,6,14,23,17,0,0,0,0,59,0,6,6,7,5,0,0,0,26,7,15,6,4,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,15,6,5,4,0,5,0,34,0,0,3,0,0,0,0,0,3,0,3,7,0,0,0,0,0,18,12,50,71,32,12,0,4,0,185
80104103520,19,7,5,0,0,0,44,0,0,0,0,0,0,0,0,4,3,17,14,11,0,3,4,0,53,0,11,12,6,3,3,0,0,34,4,12,9,3,3,0,0,0,26,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,16,4,6,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,12,16,65,55,33,11,12,3,0,191
80104103521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
