SA1_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
80101100101,10,12,9,3,11,0,39,0,0,0,5,6,5,0,0,15,0,12,16,10,15,9,0,4,67,0,0,4,0,6,6,0,0,20,4,3,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,5,0,0,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,11,5,18,35,28,34,24,18,5,164
80101100102,15,19,16,8,9,0,68,0,0,0,4,0,6,0,0,19,9,15,11,21,10,8,6,0,78,4,7,0,3,3,0,0,0,25,4,4,4,0,0,0,4,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,4,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,9,0,0,5,3,3,3,3,21,21,27,37,53,35,36,24,3,237
80101100103,33,16,17,7,0,3,93,0,0,9,8,0,0,3,0,24,8,25,21,11,10,8,3,0,87,0,6,3,0,0,11,3,0,22,3,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,4,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,19,56,66,38,31,21,9,5,246
80101100104,22,18,26,25,17,0,110,0,3,8,7,9,3,5,0,27,6,21,18,26,31,11,4,5,116,0,10,12,0,8,0,0,0,26,3,10,5,4,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,4,3,0,0,0,27,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,8,15,45,61,52,76,37,30,8,314
80101100105,15,21,22,14,6,0,83,0,5,7,7,3,3,7,0,30,3,23,28,30,28,19,14,0,148,5,3,5,6,12,7,3,5,36,5,4,4,3,5,0,5,6,27,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,7,4,5,9,3,4,7,0,36,0,0,0,0,0,0,0,5,5,0,0,4,0,0,12,0,0,20,8,39,61,72,63,60,39,13,364
80101100106,18,12,20,7,10,0,85,0,0,3,7,4,3,0,0,28,7,19,19,20,26,11,9,4,116,0,0,6,7,8,4,0,0,30,4,6,0,3,0,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,6,0,3,4,5,6,0,34,0,0,0,0,0,0,0,0,0,3,9,8,0,0,4,0,0,20,13,48,62,53,58,36,29,10,312
80101100201,12,5,4,3,4,0,54,6,4,3,4,0,0,0,0,12,15,37,23,11,6,0,0,0,94,5,0,9,3,7,4,3,0,33,3,0,4,9,3,0,0,0,29,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,9,3,9,10,0,0,0,42,0,0,0,0,0,0,0,0,4,3,7,4,4,0,0,0,0,26,26,97,55,38,29,11,10,0,259
80101100202,10,3,0,4,0,0,32,0,0,3,0,3,0,0,0,12,3,29,12,7,0,0,3,0,61,6,8,8,6,5,0,0,0,26,3,5,17,4,0,0,0,0,37,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,7,12,17,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,23,16,66,61,22,8,7,4,4,200
80101100203,29,14,3,0,0,0,163,0,9,6,3,4,3,0,0,27,40,108,46,12,3,0,0,0,221,15,19,6,10,8,0,4,0,58,13,14,10,4,0,6,0,0,47,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,18,14,6,4,3,6,3,0,55,0,4,0,0,0,0,0,0,4,4,9,9,0,0,0,0,0,28,81,264,115,43,24,10,7,3,551
80101100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100208,18,13,4,4,0,0,58,0,11,0,5,4,0,0,0,18,6,38,22,13,5,6,0,0,95,3,7,5,3,0,5,0,0,33,12,8,6,10,0,5,0,0,32,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,8,12,7,0,3,0,0,39,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,21,85,56,47,21,21,6,0,252
80101100209,7,9,4,0,0,0,37,0,0,3,0,0,3,0,0,8,10,24,10,4,3,6,0,0,59,3,12,6,5,0,0,0,0,24,3,8,8,0,5,0,0,0,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,12,7,0,5,3,0,0,25,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,17,17,80,32,26,14,12,0,0,176
80101100210,11,5,8,3,3,0,54,0,9,4,3,0,0,3,0,23,7,30,20,14,6,9,5,0,92,0,4,7,3,5,4,5,0,28,0,6,0,6,9,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,9,4,8,5,0,3,0,33,0,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,0,18,20,65,51,31,28,26,21,3,244
80101100211,18,4,5,3,0,0,79,3,5,3,4,3,0,3,0,24,18,74,29,16,0,3,0,0,142,9,13,10,3,3,0,0,0,43,9,18,14,0,0,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,4,21,17,0,0,3,0,0,46,0,0,0,0,0,0,0,0,0,9,3,10,3,4,0,3,0,34,39,161,80,33,20,17,6,0,365
80101100212,9,5,4,5,10,11,67,0,0,3,0,3,6,8,5,17,9,22,18,4,4,10,27,25,123,0,5,8,0,0,3,14,20,43,3,6,4,0,0,5,12,11,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,12,27,3,6,4,3,0,14,18,22,66,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,15,33,17,50,43,17,13,37,88,93,355
80101100213,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,0,0,17
80101100215,24,3,0,0,0,0,134,0,10,0,4,0,0,0,0,18,36,95,24,9,5,3,0,0,168,0,15,11,5,0,0,0,0,32,3,17,0,0,6,0,0,0,32,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,3,7,19,0,4,6,0,4,0,40,0,5,0,0,0,0,0,0,4,4,18,3,0,0,0,0,0,26,59,252,63,21,15,7,7,0,418
80101100216,21,16,3,3,0,0,359,4,18,9,0,7,0,0,0,32,134,226,29,9,7,4,0,0,414,16,49,20,7,6,3,0,0,105,15,33,3,6,0,4,0,0,70,0,3,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,4,20,38,9,11,0,4,0,0,87,5,3,0,0,0,0,0,0,7,33,60,3,11,0,0,0,0,113,235,703,94,51,20,10,4,0,1118
80101100217,18,3,5,0,4,0,86,4,0,8,0,0,0,0,0,11,16,54,12,7,9,11,0,0,104,4,21,3,0,4,0,0,0,35,3,12,6,12,5,0,0,0,31,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,14,6,8,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,22,4,0,3,0,0,0,36,37,155,49,22,19,17,3,0,312
80101100218,26,12,4,0,0,0,108,0,15,7,4,0,0,0,0,29,27,107,32,8,7,3,0,0,185,12,10,7,4,6,3,0,0,37,5,13,6,4,4,0,0,0,29,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,9,13,6,3,4,0,0,0,31,0,0,0,0,0,0,0,0,0,5,10,6,5,0,0,0,0,30,53,224,94,31,19,13,0,0,427
80101100219,22,3,3,3,0,0,81,0,4,0,0,0,0,0,0,8,19,78,16,4,6,0,0,0,128,0,18,9,0,0,0,0,0,34,6,13,9,4,0,0,0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,18,10,4,0,0,0,0,33,0,3,0,0,0,0,0,0,5,4,9,3,0,0,0,0,0,17,35,174,68,13,14,4,0,0,308
80101100220,18,0,0,0,0,0,40,0,7,8,0,0,0,0,0,20,3,32,16,12,0,0,0,0,61,0,11,4,4,0,0,0,0,19,5,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,16,80,53,17,0,0,0,0,165
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8
80101100222,24,10,7,0,0,0,121,0,8,9,0,0,4,3,0,27,37,85,35,11,7,0,7,0,191,10,12,10,5,4,0,0,0,42,8,6,5,9,5,3,0,0,36,0,0,4,0,0,0,0,0,9,0,0,0,3,0,0,0,3,5,10,8,10,8,5,0,0,3,49,0,3,0,0,0,0,0,0,0,6,8,8,0,4,0,0,0,22,70,198,96,37,22,10,11,4,446
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5
80101100224,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,5,27,23,0,0,0,0,0,0,49,8,4,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,6,60,43,3,0,0,0,0,0,114
80101100225,19,5,4,0,0,0,72,0,3,5,6,3,3,0,0,17,31,66,22,10,7,8,4,0,132,7,6,10,3,3,0,0,0,33,4,3,0,0,8,0,0,0,17,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,6,4,7,6,0,8,6,0,0,29,0,3,0,0,0,0,0,0,8,3,0,4,0,0,0,0,0,13,56,124,54,22,25,16,4,6,306
80101100301,23,3,6,8,0,0,80,0,9,3,0,3,0,0,0,15,30,69,17,3,0,0,0,0,120,8,14,13,6,0,0,3,0,45,4,6,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,41,144,62,16,15,12,3,0,292
80101100304,45,22,8,7,0,0,135,0,18,9,0,0,4,0,0,38,42,96,54,30,11,0,0,0,243,11,19,15,12,6,3,5,0,70,13,33,14,14,8,3,0,0,82,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,5,17,35,14,14,13,3,3,0,93,0,0,0,0,0,0,0,0,4,0,8,13,0,6,3,0,0,35,73,239,150,77,48,18,11,4,614
80101100306,22,9,9,5,0,0,69,0,7,3,0,4,0,0,0,19,17,44,22,7,10,12,8,0,116,6,0,3,4,4,9,5,0,29,9,13,0,4,0,0,0,0,26,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,12,13,0,3,0,6,0,0,33,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,10,28,99,53,25,22,34,10,3,270
80101100307,11,3,5,0,4,0,39,0,0,3,0,0,3,0,0,11,22,26,13,5,3,0,3,0,75,0,3,5,7,0,0,0,0,18,7,3,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,35,52,34,20,18,5,9,0,172
80101100308,12,6,0,0,0,0,62,11,0,0,0,0,0,0,0,11,64,60,3,0,0,0,0,0,133,38,9,0,0,0,0,0,0,43,53,8,4,0,0,0,0,0,65,10,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,8,69,9,4,0,0,0,0,0,82,3,3,0,0,0,0,0,0,8,28,5,0,0,0,0,0,3,42,213,128,22,9,0,0,4,5,387
80101100309,18,5,3,3,0,0,49,0,5,0,4,4,0,0,0,14,18,43,14,14,0,0,0,0,90,3,9,0,0,0,5,0,0,15,8,5,0,0,6,0,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,8,0,0,6,0,0,0,23,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,8,30,84,39,23,11,11,0,0,203
80101100310,10,6,6,6,0,0,42,0,0,0,0,3,0,0,0,13,13,16,18,16,8,3,0,0,64,5,0,0,0,4,3,0,0,13,4,6,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,16,35,34,27,28,12,0,0,156
80101100311,8,8,16,8,6,0,53,0,4,0,0,0,0,0,0,7,8,38,13,0,13,8,5,0,84,0,6,0,3,3,0,0,0,12,5,0,3,5,0,6,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,5,0,5,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,16,65,28,23,30,20,12,0,198
80101100312,30,16,18,8,0,0,134,0,7,10,13,4,0,0,0,37,39,46,22,14,17,10,7,0,159,8,6,9,9,14,5,0,0,48,6,6,6,3,0,9,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,6,6,3,0,7,0,0,33,0,0,0,0,0,0,0,0,7,0,10,3,0,0,0,0,0,12,54,135,77,54,53,32,16,0,427
80101100314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,10,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,17,4,4,0,4,0,0,3,31,21,11,8,0,3,4,0,5,57
80101100315,13,12,8,20,5,0,73,0,0,4,0,6,0,3,0,19,8,27,13,17,15,20,9,0,108,3,0,0,4,6,11,3,0,26,6,0,6,0,0,4,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,0,6,0,0,3,5,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,0,0,14,19,49,34,43,29,57,25,8,267
80101100316,4,13,3,0,9,3,27,0,0,0,0,0,4,5,6,14,0,0,0,12,7,8,26,21,75,0,0,0,0,0,4,4,15,21,0,0,0,0,0,3,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,6,4,6,20,0,0,0,0,0,0,0,0,6,0,0,0,0,3,6,15,14,35,0,0,7,21,14,27,64,64,199
80101100317,18,4,0,0,0,0,107,0,8,3,0,6,0,0,0,20,35,82,16,0,4,7,0,0,144,8,13,5,0,0,0,0,0,27,12,24,5,3,0,0,0,0,42,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,16,24,7,3,4,4,0,0,48,0,4,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,10,56,213,54,14,12,7,0,0,356
80101100318,13,13,12,9,3,0,53,0,0,0,5,0,5,0,0,15,5,5,13,19,21,21,0,0,88,0,4,0,0,0,4,3,0,8,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,3,0,6,0,3,4,0,0,16,8,17,29,38,38,54,9,0,190
80101100319,10,3,3,4,6,0,45,0,3,0,4,8,6,0,0,22,6,12,15,10,11,12,8,4,77,0,6,3,0,4,3,0,0,20,5,3,0,0,0,0,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,4,0,3,4,29,0,0,0,0,0,5,0,0,5,0,3,0,0,6,4,0,0,15,15,45,29,14,34,44,17,3,205
80101100320,45,20,4,0,0,0,89,0,6,5,10,0,0,0,0,20,16,45,28,6,0,0,0,0,99,3,4,10,4,0,0,0,0,20,8,10,6,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,9,35,90,94,36,8,0,0,0,270
80101100321,32,15,0,4,0,0,107,0,8,6,0,3,0,0,0,17,14,64,19,14,7,0,0,0,117,7,19,5,5,0,0,0,0,33,9,10,6,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,11,12,3,8,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,20,6,0,0,0,0,0,32,43,182,73,39,5,5,0,0,340
80101100322,23,5,3,3,0,0,74,0,5,3,0,0,0,0,0,19,24,77,24,4,8,0,0,0,131,0,9,14,0,0,0,0,0,26,16,10,8,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,12,5,4,0,0,0,0,40,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,8,41,150,71,21,17,10,0,0,302
80101100401,5,0,3,0,0,0,13,0,0,0,3,0,0,0,0,9,0,5,6,0,5,0,0,0,17,3,4,8,5,7,0,0,0,22,8,8,11,10,9,0,0,0,50,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,8,12,11,13,9,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,28,25,17,6,3,0,109
80101100402,8,4,9,4,0,0,29,0,0,3,3,0,3,0,0,9,0,11,13,13,4,8,0,0,59,0,4,8,3,3,3,0,0,31,3,14,15,20,3,3,0,0,67,4,0,4,0,0,0,0,0,9,0,0,0,4,0,4,0,0,4,6,19,19,25,3,8,5,0,79,0,3,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,11,10,51,53,59,18,26,11,5,225
80101100403,0,4,0,0,3,0,17,0,0,3,0,0,0,0,0,3,0,18,26,9,5,0,4,0,65,0,0,17,4,7,3,0,0,41,7,14,16,17,7,5,0,0,64,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,11,8,14,26,17,6,5,5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,17,8,47,74,35,25,14,15,3,221
80101100404,4,0,0,0,0,0,13,0,0,4,0,0,0,0,0,7,0,7,18,6,5,0,0,0,33,3,3,15,4,0,8,0,0,34,0,11,23,11,0,9,3,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,10,23,12,4,8,3,0,70,0,0,0,0,0,0,0,0,0,3,0,0,5,3,3,0,0,19,3,36,62,29,15,20,11,4,185
80101100405,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,12,0,19,13,5,7,9,0,0,48,0,5,12,7,7,6,0,0,42,8,18,9,14,4,3,0,0,59,0,5,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,4,10,22,6,18,5,7,0,0,71,0,0,0,0,0,0,0,0,0,0,9,5,5,5,0,0,0,20,10,65,37,36,25,36,3,0,212
80101100406,4,0,0,0,0,0,20,0,0,3,0,3,0,0,0,5,6,15,15,7,14,0,0,0,61,4,9,8,12,4,5,0,0,40,13,30,19,14,17,5,0,0,102,0,0,0,0,0,0,0,0,7,0,0,4,0,3,0,0,0,14,17,34,18,18,18,12,0,0,121,0,0,0,0,0,0,0,0,0,5,10,9,4,0,0,0,0,35,37,85,57,41,39,21,8,0,286
80101100408,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,4,11,0,0,0,0,0,25,0,0,6,10,3,0,0,0,18,0,5,7,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,4,0,3,0,0,24,0,0,0,0,0,3,0,0,3,0,5,5,0,0,4,0,0,15,3,21,26,21,7,16,3,6,96
80101100409,5,4,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,7,3,0,0,6,0,0,21,0,13,6,3,5,4,0,0,31,0,11,10,11,7,5,0,0,50,0,0,5,5,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,13,15,7,11,5,0,0,62,0,0,0,0,0,0,0,0,0,3,3,8,6,0,10,4,0,26,8,46,43,29,19,22,7,3,167
80101100501,11,6,3,8,4,0,31,0,0,5,0,0,6,0,0,13,0,15,23,7,5,3,9,0,64,3,3,5,0,0,4,0,0,24,0,12,5,5,0,3,0,0,25,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,6,5,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,19,11,39,56,25,17,18,15,3,182
80101100502,20,16,17,3,0,3,65,0,0,0,9,5,5,0,0,23,4,14,28,22,12,10,7,0,98,0,9,4,3,3,0,4,0,21,8,8,6,4,4,3,9,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,4,6,4,3,0,42,0,0,0,0,0,0,3,0,3,3,4,4,3,0,0,0,0,18,10,44,64,62,46,23,20,5,277
80101100503,6,23,10,10,4,0,51,0,4,0,3,4,0,0,0,11,7,13,13,20,13,13,7,0,93,0,4,3,3,0,3,0,0,18,0,4,0,3,0,6,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,3,4,6,3,6,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,28,22,53,39,31,23,5,202
80101100504,19,11,9,12,5,0,59,0,6,3,4,4,4,0,0,29,0,19,28,17,14,10,8,0,89,0,4,7,3,12,3,4,0,29,0,3,3,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,3,3,6,4,3,5,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,33,63,39,42,36,12,8,235
80101100505,28,10,8,9,5,3,69,0,0,4,5,6,0,3,0,18,3,32,23,14,6,14,4,0,105,0,6,4,4,8,4,5,4,31,3,3,0,4,6,4,0,0,26,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,5,3,0,4,5,7,0,0,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,10,8,56,61,43,30,41,22,3,271
80101100506,5,14,10,15,4,0,46,0,4,0,4,3,5,0,0,18,3,3,6,9,6,8,10,4,47,3,0,3,0,4,6,5,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,13,3,17,11,29,27,30,18,8,145
80101100507,11,18,11,17,7,0,74,0,3,4,3,0,0,0,0,13,4,11,18,20,15,9,4,3,87,0,0,3,9,0,0,0,3,16,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,4,27,38,51,27,31,16,6,209
80101100508,11,16,8,4,4,0,47,0,0,4,4,0,3,0,0,15,0,6,5,15,10,6,3,0,50,0,0,0,3,0,0,4,0,7,5,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,24,36,19,13,14,0,130
80101100509,20,16,7,4,0,0,75,0,6,0,9,6,0,0,0,20,0,23,25,29,11,4,5,0,102,0,7,10,9,3,3,5,0,33,7,6,5,5,0,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,11,8,5,6,0,6,0,34,0,0,0,0,0,0,0,0,3,0,9,4,0,4,0,0,0,23,14,64,78,63,37,22,13,6,290
