SA1_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80107108103,45,27,5,9,226
80107108104,30,18,0,0,157
80107108105,31,14,4,0,180
80107108106,37,16,0,0,191
80107108107,28,5,4,0,162
80107108108,35,7,7,0,223
80107108109,22,8,0,0,145
80107108111,27,10,9,0,153
80107108112,15,15,16,5,149
80107108113,0,22,37,24,89
80107108114,15,11,0,0,120
80107108201,22,17,10,0,135
80107108202,16,18,11,0,140
80107108203,30,39,18,4,233
80107108204,29,37,22,0,209
80107108205,24,19,8,0,167
80107108206,8,21,8,3,146
80107108207,45,48,40,9,347
80107108208,18,19,19,0,126
80107108209,18,18,13,6,145
80107108210,44,46,14,8,277
80107108211,20,38,15,0,183
80107108212,38,50,8,3,229
80107108213,30,48,4,0,296
80107108214,21,22,3,4,129
80107108215,41,25,14,3,302
80107108216,21,13,8,0,206
80107108217,37,40,18,4,238
80107108218,32,33,23,7,231
80107108219,47,54,14,0,308
80107108220,48,53,29,0,241
80107108221,28,18,8,4,193
80107108222,34,23,5,0,193
80107108223,14,23,10,0,153
80107108224,39,32,10,3,207
80107108225,16,16,9,0,136
80107108226,35,40,16,6,256
80107108227,21,28,13,0,225
80107108228,19,24,12,0,111
80107108229,39,57,18,4,277
80107108230,33,38,11,0,176
80107108231,26,29,13,3,190
80107108232,61,29,3,3,183
80107108233,16,16,5,0,137
80107108234,23,18,0,0,156
80107108235,37,41,16,0,311
80107108236,37,61,15,4,286
80107108237,66,44,16,0,234
80107108238,54,36,17,0,211
80107108239,19,14,3,3,152
80107108240,26,29,14,3,142
80107108241,42,32,5,0,226
80107108301,52,40,8,0,285
80107108302,43,39,11,0,246
80107108303,45,44,8,0,228
80107108401,20,26,4,0,107
80107108402,16,16,10,0,123
80107108403,31,25,7,0,171
80107108404,35,22,11,0,210
80107108405,55,39,12,0,212
80107108406,25,27,0,6,136
80107108407,41,20,9,0,165
80107108408,31,37,9,0,213
80107108409,41,18,7,0,146
80107108410,41,6,0,0,131
80107108411,42,34,4,6,211
80107108412,42,27,26,0,219
80107108413,27,18,4,0,126
80107108414,20,11,7,4,142
80107108415,22,21,6,0,159
80107108417,36,25,61,54,253
80107108418,29,7,4,5,113
80107108419,0,10,36,36,77
80107108420,12,5,3,0,40
80107108501,0,0,0,0,0
80107108601,28,21,9,5,156
80107108602,32,16,4,0,131
80107108603,40,26,0,0,217
80107108604,29,17,11,0,130
80107108605,55,44,12,4,275
80107108701,34,19,5,0,215
80107108702,34,17,6,0,187
80107108703,44,28,0,4,276
80107108704,16,0,0,0,121
80107108705,26,26,0,0,205
80107108706,39,38,7,0,296
80107108707,29,18,4,5,137
80107108801,51,24,6,4,255
80107108802,36,14,5,0,149
80107108803,46,24,0,0,183
80107108804,48,17,4,0,237
80107108805,19,8,3,0,149
80107108806,20,17,0,0,127
80107108807,38,14,8,0,204
80107108808,31,15,5,0,152
80107108809,57,28,4,0,291
80107108810,15,9,0,0,112
80107108901,9,12,0,0,31
80107109001,6,21,5,0,112
80107109002,14,18,5,0,112
80107109003,43,72,21,0,287
80107109004,59,43,17,4,329
80107109005,29,28,7,0,200
80107109006,30,20,11,0,200
80107109007,40,28,14,0,243
80107109008,47,37,9,0,286
80107109009,20,28,8,0,164
80107109010,66,61,20,0,293
80107109011,40,56,13,0,274
80107109012,23,33,9,0,162
80107109013,35,41,13,0,196
80107109014,41,35,13,0,253
80107109015,23,21,9,0,185
80107109016,39,32,4,0,257
80107109017,15,4,0,0,88
80107109018,36,29,12,0,197
80107109019,42,27,7,0,241
80107109020,29,11,6,3,158
80107113201,0,4,0,0,9
80107113202,0,0,0,0,0
80108109101,42,27,17,5,164
80108109102,33,35,15,6,204
80108109103,30,36,33,10,236
80108109104,29,28,21,0,157
80108109105,48,32,20,4,202
80108109106,52,62,34,3,288
80108109107,51,27,34,6,215
80108109108,53,51,21,3,274
80108109201,52,25,19,8,327
80108109202,42,39,8,4,252
80108109203,46,23,10,5,248
80108109204,29,14,15,3,179
80108109205,32,12,20,4,197
80108109206,38,23,20,0,204
80108109207,39,28,28,0,231
80108109208,55,31,20,3,295
80108109209,10,4,4,0,58
80108109210,0,0,0,0,0
80108109301,17,53,52,21,288
80108109302,14,8,12,6,136
80108109303,46,32,22,9,276
80108109304,55,32,28,7,423
80108109305,43,38,16,4,338
80108109306,48,33,21,3,326
80108109401,34,35,13,3,252
80108109402,0,0,0,0,0
80108109403,27,18,6,0,138
80108109404,64,52,39,17,437
80108109405,45,52,24,5,335
80108109406,26,22,18,7,284
80108109407,45,25,18,4,216
80108109501,18,20,7,0,155
80108109502,28,28,11,5,197
80108109503,14,5,11,0,128
80108109504,32,40,26,8,223
80108109505,24,30,19,0,278
80108109506,25,9,4,3,161
80108109507,35,33,17,4,212
80108109508,31,43,19,3,277
80108109509,27,24,16,3,210
80108109601,48,46,22,12,233
80108109602,38,21,21,6,199
80108109603,49,45,22,10,323
80108109604,23,45,33,36,253
80108109605,19,22,11,0,177
80108109701,37,42,24,13,278
80108109702,36,16,19,3,239
80108109703,41,33,17,7,272
80108109705,4,8,7,4,114
80108109706,26,29,18,7,204
80108109707,31,23,16,3,262
80108109708,20,26,15,3,209
80108109801,19,36,45,32,243
80108109802,24,22,11,0,216
80108109804,26,25,21,5,145
80108109806,12,37,31,15,231
80108109807,24,36,48,55,251
80108109808,34,46,24,6,272
80108109809,45,32,31,6,315
80108109810,13,16,15,0,105
80108109811,0,0,0,0,0
80108109812,20,10,3,0,180
80108109813,22,5,4,4,180
80108109814,45,30,21,0,251
80108113301,0,0,0,0,0
80109109901,66,50,28,7,527
80109109902,42,17,27,9,442
80109109903,37,22,16,5,200
80109109904,35,39,23,6,234
80109109905,42,26,21,5,279
80109110001,61,43,31,8,298
80109110002,47,39,16,8,243
80109110003,36,24,27,35,203
80109110004,59,46,32,9,405
80109110005,62,45,32,5,337
80109110006,60,29,10,3,261
80109110007,38,23,8,4,158
80109110008,57,34,26,3,420
80109110010,44,36,21,9,328
80109110011,27,24,8,3,161
80109110012,53,29,18,9,266
80109110013,8,6,0,0,183
80109110014,18,13,10,7,143
80109110101,25,13,10,3,185
80109110102,46,27,21,6,245
80109110104,40,13,13,4,225
80109110105,43,46,31,52,296
80109110106,18,51,91,45,289
80109110107,49,24,20,7,298
80109110108,49,40,34,8,296
80109110109,40,24,13,7,201
80109110110,39,15,10,3,166
80109110201,0,0,0,0,0
80109110202,41,35,43,35,353
80109110203,50,18,28,5,274
80109110204,47,32,31,8,222
80109110205,29,30,19,5,174
80109110206,25,27,21,0,185
80109110207,61,52,20,8,522
80109110209,30,21,21,8,180
80109110210,15,27,13,0,128
80109110211,29,21,21,5,225
80109110301,37,26,8,0,291
80109110302,61,44,10,8,228
80109110303,38,33,16,4,236
80109110304,68,26,24,6,280
80109110305,29,25,16,0,171
80109110306,38,45,51,94,359
80109110307,41,28,20,10,291
80109110308,20,14,6,4,122
80109110401,95,66,34,4,411
80109110402,30,22,21,0,202
80109110403,50,55,24,9,272
80109110404,70,53,39,7,288
80109110405,58,61,44,17,322
80109110406,0,0,0,0,0
80109110501,0,0,0,0,0
80109110502,55,23,17,3,351
80109110503,26,19,12,0,247
80109110504,42,47,73,41,415
80109110505,24,17,11,11,229
80109110506,64,24,21,3,349
80109110507,23,18,16,4,433
80109110601,47,29,17,3,338
80109110602,57,34,24,4,360
80109110603,44,27,13,4,288
80109110604,23,22,16,4,156
80109110605,31,11,7,0,407
80109110606,62,70,67,17,327
80109110607,42,34,20,8,291
80109110701,36,42,28,7,189
80109110702,84,70,28,5,387
80109110801,0,0,0,0,0
80109110802,23,28,12,0,141
80109110803,63,34,29,3,366
80109110804,42,31,27,3,288
80109110805,48,29,28,3,266
80109110806,55,34,23,8,226
80109110807,63,46,24,9,343
80109110901,16,10,16,11,163
80109110904,0,0,0,0,0
80109110905,20,15,5,0,143
80109110907,15,10,5,0,231
80109110908,25,10,0,0,259
80109110910,32,31,17,3,292
80109110913,30,19,12,0,179
80109110915,18,7,11,0,415
80109110916,28,6,0,0,366
80109110917,33,16,0,4,643
80109110918,31,18,17,0,340
80109110919,0,0,0,0,0
80109110920,0,0,0,0,0
80109110921,31,17,5,0,679
80109111001,39,21,25,8,314
80109111002,36,28,25,4,264
80109111003,35,9,12,6,166
80109111004,28,22,14,3,262
80109111005,36,30,10,0,190
80109111006,41,25,17,5,182
80110113401,0,4,0,0,4
80110113505,8,5,0,0,208
80110113506,21,10,5,0,233
80110113507,3,3,0,0,116
80110113508,25,12,7,7,303
80110113509,19,12,8,0,368
80110113510,14,8,0,0,215
80110113511,17,0,0,0,332
80110113512,11,3,0,0,218
80110113513,16,10,3,0,341
80110113514,6,8,0,0,338
80110113515,26,11,0,0,200
80110113602,12,3,0,0,132
80110113603,22,10,0,0,320
80110113604,20,4,0,0,398
80110113605,25,6,4,0,271
80110113606,15,11,0,0,538
80110113701,0,0,0,0,0
80110113901,17,9,0,0,273
80110113902,29,13,3,0,223
80110113903,23,12,0,3,293
80110113904,0,0,0,0,0
80110113905,24,11,0,0,337
80110113906,28,26,10,0,303
80110113907,11,6,0,0,199
80110113908,25,15,8,0,239
80110113909,7,8,0,0,234
80110113910,17,15,0,0,325
80110114501,4,0,0,0,4
80110114601,0,0,0,0,4
80111114001,8,3,0,0,41
80111114002,13,8,0,0,50
80111114004,9,7,0,0,46
80111114005,0,0,3,0,5
80111114006,24,10,0,0,166
80111114101,6,0,0,0,39
89797979991,0,0,0,0,0
89999949999,64,24,8,4,368
