SA1_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
80101100402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,7,16,3,6,0,4,0,0,32,0,8,4,9,3,0,0,0,4,37,3,7,9,0,7,0,0,6,0,35,0,3,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,31,16,18,5,16,14,4,133,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,8,7,0,0,5,4,0,0,0,26,6,13,3,6,10,0,0,0,0,30,5,14,0,3,4,0,0,0,0,32,0,4,0,0,9,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,8,11,34,8,0,3,0,109
80101100403,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,9,6,0,4,0,0,0,4,26,5,7,10,4,0,5,0,4,0,38,7,3,9,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,22,12,8,10,4,10,7,108,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,0,0,4,0,11,0,4,3,0,0,0,0,29,10,12,0,9,11,6,0,0,0,45,4,6,0,5,9,6,0,0,0,21,3,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,5,24,24,15,0,4,0,114
80101100404,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,9,3,0,3,0,0,8,0,21,0,7,8,4,4,0,0,0,0,28,5,4,0,0,10,0,3,0,3,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,18,7,11,4,0,5,6,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,0,0,0,0,0,20,0,9,0,5,11,6,0,0,0,39,4,0,0,0,3,3,0,0,0,16,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,8,22,17,9,0,0,6,88
80101100405,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,8,5,5,11,3,0,0,3,3,0,34,3,0,4,5,4,0,3,5,0,27,3,3,5,0,6,0,0,0,0,19,0,0,3,0,3,0,6,3,0,12,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,26,4,9,3,17,16,5,108,0,0,0,0,0,0,0,4,0,7,0,3,0,0,0,0,0,0,0,10,3,3,0,6,12,5,0,0,5,34,4,3,0,4,3,3,0,3,0,17,4,3,0,4,8,0,0,0,0,26,0,0,0,4,3,0,0,0,0,12,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,19,31,9,0,11,3,111
80101100406,0,0,0,0,0,3,0,4,0,7,0,3,6,0,0,0,4,4,0,20,4,3,22,5,3,4,8,0,0,46,5,8,4,4,0,0,0,0,0,25,7,4,5,0,4,0,0,3,3,26,0,0,3,0,0,0,6,6,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,42,11,4,9,19,15,7,148,0,0,0,3,0,0,0,0,0,8,0,4,0,3,4,0,0,0,0,21,0,11,4,5,7,0,0,0,0,33,3,10,5,7,5,0,0,6,0,32,3,4,0,10,5,0,0,4,0,19,4,4,0,5,4,4,0,0,0,15,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,12,28,29,14,4,10,0,135
80101100408,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,7,0,5,4,0,0,0,0,0,0,16,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,3,3,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,6,3,3,4,0,0,0,0,14,0,5,0,3,3,0,0,0,0,15,0,5,0,0,4,0,0,0,0,14,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,4,8,16,0,0,0,0,56
80101100409,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,10,0,0,0,3,4,0,33,4,4,6,0,0,3,0,0,0,20,0,5,8,0,0,0,0,5,0,12,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,31,6,0,0,12,9,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,3,4,0,6,0,0,0,3,0,17,0,3,0,5,5,0,0,0,0,18,0,3,0,4,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,23,11,3,3,7,0,73
80101100501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,17,7,8,4,0,4,0,0,0,0,24,8,3,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,7,8,13,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,5,5,0,0,0,0,0,24,6,14,0,3,3,0,0,0,0,29,0,7,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,8,6,9,3,0,0,4,73
80101100502,0,0,0,0,0,3,0,0,0,9,3,0,0,0,0,4,0,0,0,9,6,4,4,0,0,0,0,0,0,15,0,14,0,8,0,0,0,0,0,24,7,16,3,0,6,0,0,0,0,30,0,10,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,17,10,3,6,6,3,0,106,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,3,11,3,3,3,3,0,0,0,24,10,13,0,0,5,0,0,0,0,33,9,17,5,0,8,0,0,0,0,33,3,4,0,0,4,0,0,0,0,12,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26,44,9,7,19,4,0,0,0,113
80101100503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,3,0,18,5,4,4,3,0,0,0,0,0,11,4,14,0,0,0,0,0,0,0,29,0,8,3,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,18,5,6,9,0,9,0,80,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,3,0,0,0,10,0,6,0,0,3,0,0,0,0,14,4,4,0,0,5,0,0,0,0,11,11,14,0,0,4,0,0,0,0,24,0,9,0,0,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,0,3,11,9,0,6,0,87
