route_id,route_short_name,route_label,route_long_name,day_type,category,count,percentage,total_observations
63,63,63,Cooleman Court to Woden via Stirling & Fisher,weekday,Good (1-3min),453,27.2,1665
63,63,63,Cooleman Court to Woden via Stirling & Fisher,weekday,Poor (6-9min),113,6.8,1665
63,63,63,Cooleman Court to Woden via Stirling & Fisher,weekday,Very Poor (10+min),0,0.0,1665
64,64,64,Chapman to Woden via Rivett & Cooleman Court,weekday,Excellent (±1min),890,35.8,2488
64,64,64,Chapman to Woden via Rivett & Cooleman Court,weekday,Fair (3-6min),417,16.8,2488
64,64,64,Chapman to Woden via Rivett & Cooleman Court,weekday,Good (1-3min),1162,46.7,2488
64,64,64,Chapman to Woden via Rivett & Cooleman Court,weekday,Poor (6-9min),4,0.2,2488
64,64,64,Chapman to Woden via Rivett & Cooleman Court,weekday,Very Poor (10+min),15,0.6,2488
65,65,65,Duffy to Woden via Holder & Cooleman Court,weekday,Excellent (±1min),698,47.6,1465
65,65,65,Duffy to Woden via Holder & Cooleman Court,weekday,Fair (3-6min),71,4.8,1465
65,65,65,Duffy to Woden via Holder & Cooleman Court,weekday,Good (1-3min),685,46.8,1465
65,65,65,Duffy to Woden via Holder & Cooleman Court,weekday,Poor (6-9min),3,0.2,1465
65,65,65,Duffy to Woden via Holder & Cooleman Court,weekday,Very Poor (10+min),8,0.5,1465
66,66,66,Cooleman Court to Woden via Denman Prospect,weekday,Excellent (±1min),3110,45.1,6903
66,66,66,Cooleman Court to Woden via Denman Prospect,weekday,Fair (3-6min),1075,15.6,6903
66,66,66,Cooleman Court to Woden via Denman Prospect,weekday,Good (1-3min),2686,38.9,6903
66,66,66,Cooleman Court to Woden via Denman Prospect,weekday,Poor (6-9min),32,0.5,6903
66,66,66,Cooleman Court to Woden via Denman Prospect,weekday,Very Poor (10+min),0,0.0,6903
70,70,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday,Excellent (±1min),1918,45.5,4219
70,70,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday,Fair (3-6min),437,10.4,4219
70,70,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday,Good (1-3min),1815,43.0,4219
70,70,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday,Poor (6-9min),49,1.2,4219
70,70,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday,Very Poor (10+min),0,0.0,4219
71,71,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday,Excellent (±1min),1282,32.2,3978
71,71,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday,Fair (3-6min),847,21.3,3978
71,71,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday,Good (1-3min),1800,45.2,3978
71,71,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday,Poor (6-9min),49,1.2,3978
71,71,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday,Very Poor (10+min),0,0.0,3978
72,72,72,Tuggeranong to Woden via Oxley & Erindale,weekday,Excellent (±1min),1439,39.3,3662
72,72,72,Tuggeranong to Woden via Oxley & Erindale,weekday,Fair (3-6min),844,23.0,3662
72,72,72,Tuggeranong to Woden via Oxley & Erindale,weekday,Good (1-3min),1228,33.5,3662
72,72,72,Tuggeranong to Woden via Oxley & Erindale,weekday,Poor (6-9min),151,4.1,3662
72,72,72,Tuggeranong to Woden via Oxley & Erindale,weekday,Very Poor (10+min),0,0.0,3662
73,73,73,Tuggeranong to Woden via Monash & Wanniassa,weekday,Excellent (±1min),1278,36.0,3546
73,73,73,Tuggeranong to Woden via Monash & Wanniassa,weekday,Fair (3-6min),933,26.3,3546
73,73,73,Tuggeranong to Woden via Monash & Wanniassa,weekday,Good (1-3min),1155,32.6,3546
73,73,73,Tuggeranong to Woden via Monash & Wanniassa,weekday,Poor (6-9min),136,3.8,3546
73,73,73,Tuggeranong to Woden via Monash & Wanniassa,weekday,Very Poor (10+min),44,1.2,3546
74,74,74,Chisholm Loop via Erindale & Richardson,weekday,Excellent (±1min),1718,37.2,4621
74,74,74,Chisholm Loop via Erindale & Richardson,weekday,Fair (3-6min),510,11.0,4621
74,74,74,Chisholm Loop via Erindale & Richardson,weekday,Good (1-3min),2291,49.6,4621
74,74,74,Chisholm Loop via Erindale & Richardson,weekday,Poor (6-9min),102,2.2,4621
74,74,74,Chisholm Loop via Erindale & Richardson,weekday,Very Poor (10+min),0,0.0,4621
75,75,75,Chisholm Loop via Richardson & Erindale,weekday,Excellent (±1min),1242,37.0,3354
75,75,75,Chisholm Loop via Richardson & Erindale,weekday,Fair (3-6min),674,20.1,3354
75,75,75,Chisholm Loop via Richardson & Erindale,weekday,Good (1-3min),1424,42.5,3354
75,75,75,Chisholm Loop via Richardson & Erindale,weekday,Poor (6-9min),14,0.4,3354
75,75,75,Chisholm Loop via Richardson & Erindale,weekday,Very Poor (10+min),0,0.0,3354
76,76,76,Tuggeranong to Woden via Calwell & Erindale,weekday,Excellent (±1min),2172,33.6,6466
76,76,76,Tuggeranong to Woden via Calwell & Erindale,weekday,Fair (3-6min),1664,25.7,6466
76,76,76,Tuggeranong to Woden via Calwell & Erindale,weekday,Good (1-3min),2082,32.2,6466
76,76,76,Tuggeranong to Woden via Calwell & Erindale,weekday,Poor (6-9min),535,8.3,6466
76,76,76,Tuggeranong to Woden via Calwell & Erindale,weekday,Very Poor (10+min),13,0.2,6466
77,77,77,Tuggeranong to Woden via Gowrie & Erindale,weekday,Excellent (±1min),1313,30.0,4376
