route_id,route_short_name,route_long_name,service_type,mean_headway_min,departures
40-10657,40,Fraser Loop via Kippax & Charnwood,saturday,64.61538461538461,14
40-10657,40,Fraser Loop via Kippax & Charnwood,sunday,120.0,7
40-10657,40,Fraser Loop via Kippax & Charnwood,weekday_offpeak,32.875,18
40-10657,40,Fraser Loop via Kippax & Charnwood,weekday_peak,30.0,8
41-10657,41,Fraser to Belconnen via Flynn & Melba,saturday,34.2962962962963,28
41-10657,41,Fraser to Belconnen via Flynn & Melba,sunday,58.0,14
41-10657,41,Fraser to Belconnen via Flynn & Melba,weekday_offpeak,16.38235294117647,36
41-10657,41,Fraser to Belconnen via Flynn & Melba,weekday_peak,12.294117647058824,19
42-10657,42,Fraser Loop via Charnwood & Kippax,saturday,66.92307692307692,14
42-10657,42,Fraser Loop via Charnwood & Kippax,sunday,120.0,8
42-10657,42,Fraser Loop via Charnwood & Kippax,weekday_offpeak,31.9375,18
42-10657,42,Fraser Loop via Charnwood & Kippax,weekday_peak,30.0,8
43-10657,43,Spence to Belconnen via Evatt & McKellar,saturday,34.370370370370374,28
43-10657,43,Spence to Belconnen via Evatt & McKellar,sunday,57.84615384615385,14
43-10657,43,Spence to Belconnen via Evatt & McKellar,weekday_offpeak,15.82857142857143,37
43-10657,43,Spence to Belconnen via Evatt & McKellar,weekday_peak,12.266666666666667,17
44-10657,44,Kippax to Belconnen via West Macgregor & Higgins,saturday,32.142857142857146,29
44-10657,44,Kippax to Belconnen via West Macgregor & Higgins,sunday,60.0,15
44-10657,44,Kippax to Belconnen via West Macgregor & Higgins,weekday_offpeak,15.11111111111111,38
44-10657,44,Kippax to Belconnen via West Macgregor & Higgins,weekday_peak,12.461538461538462,15
45-10657,45,Kippax to Belconnen via Hawker & Weetangera,saturday,32.142857142857146,29
45-10657,45,Kippax to Belconnen via Hawker & Weetangera,sunday,60.0,15
45-10657,45,Kippax to Belconnen via Hawker & Weetangera,weekday_offpeak,14.128205128205128,41
45-10657,45,Kippax to Belconnen via Hawker & Weetangera,weekday_peak,13.5,16
46-10657,46,Kippax to Belconnen via Latham & Florey,saturday,33.57142857142857,29
46-10657,46,Kippax to Belconnen via Latham & Florey,sunday,60.0,15
46-10657,46,Kippax to Belconnen via Latham & Florey,weekday_offpeak,16.08823529411765,36
46-10657,46,Kippax to Belconnen via Latham & Florey,weekday_peak,13.0625,18
47-10657,47,Belconnen to Denman Prospect via Whitlam,saturday,60.0,16
47-10657,47,Belconnen to Denman Prospect via Whitlam,sunday,120.0,8
47-10657,47,Belconnen to Denman Prospect via Whitlam,weekday_offpeak,49.0,13
47-10657,47,Belconnen to Denman Prospect via Whitlam,weekday_peak,30.25,6
5-10657,5,Lanyon to City ANU via Erindale & Woden,saturday,15.080645161290322,63
5-10657,5,Lanyon to City ANU via Erindale & Woden,sunday,15.185185185185185,55
5-10657,5,Lanyon to City ANU via Erindale & Woden,weekday_offpeak,6.488636363636363,90
5-10657,5,Lanyon to City ANU via Erindale & Woden,weekday_peak,6.0256410256410255,41
50-10657,50,Watson to City via Dickson & Lyneham,saturday,33.333333333333336,28
50-10657,50,Watson to City via Dickson & Lyneham,sunday,60.0,15
50-10657,50,Watson to City via Dickson & Lyneham,weekday_offpeak,16.4,37
50-10657,50,Watson to City via Dickson & Lyneham,weekday_peak,14.785714285714286,16
51-10657,51,Dickson to City via Lyneham & O'Connor,saturday,34.61538461538461,27
51-10657,51,Dickson to City via Lyneham & O'Connor,sunday,60.76923076923077,14
51-10657,51,Dickson to City via Lyneham & O'Connor,weekday_offpeak,15.243243243243244,39
51-10657,51,Dickson to City via Lyneham & O'Connor,weekday_peak,16.0,16
53-10657,53,Dickson to National Museum via Hackett & Ainslie,saturday,33.51851851851852,28
53-10657,53,Dickson to National Museum via Hackett & Ainslie,sunday,59.0,14
53-10657,53,Dickson to National Museum via Hackett & Ainslie,weekday_offpeak,14.657894736842104,40
53-10657,53,Dickson to National Museum via Hackett & Ainslie,weekday_peak,14.142857142857142,16
54-10657,54,City to Majura Park via Campbell Park,saturday,64.61538461538461,14
54-10657,54,City to Majura Park via Campbell Park,sunday,120.0,7
54-10657,54,City to Majura Park via Campbell Park,weekday_offpeak,33.6875,18
54-10657,54,City to Majura Park via Campbell Park,weekday_peak,27.428571428571427,9
55-10657,55,Duntroon Loop via Campbell & Reid,saturday,64.61538461538461,14
55-10657,55,Duntroon Loop via Campbell & Reid,sunday,120.0,7
55-10657,55,Duntroon Loop via Campbell & Reid,weekday_offpeak,32.5625,18
55-10657,55,Duntroon Loop via Campbell & Reid,weekday_peak,30.0,8
56-10657,56,Fyshwick to City via Red Hill & Kingston,saturday,31.76923076923077,27
56-10657,56,Fyshwick to City via Red Hill & Kingston,sunday,58.642857142857146,15
56-10657,56,Fyshwick to City via Red Hill & Kingston,weekday_offpeak,14.789473684210526,40
56-10657,56,Fyshwick to City via Red Hill & Kingston,weekday_peak,14.785714285714286,16
57-10657,57,Woden to City via Hughes & Yarralumla,saturday,31.444444444444443,28
57-10657,57,Woden to City via Hughes & Yarralumla,sunday,56.07692307692308,14
57-10657,57,Woden to City via Hughes & Yarralumla,weekday_offpeak,14.571428571428571,37
57-10657,57,Woden to City via Hughes & Yarralumla,weekday_peak,12.857142857142858,16
58-10657,58,Woden to City via Curtin & Deakin,saturday,32.241379310344826,30
58-10657,58,Woden to City via Curtin & Deakin,sunday,56.07692307692308,14
58-10657,58,Woden to City via Curtin & Deakin,weekday_offpeak,15.588235294117647,36
58-10657,58,Woden to City via Curtin & Deakin,weekday_peak,13.428571428571429,16
59-10657,59,City ANU to Woden via Russell & Barton,saturday,34.074074074074076,28
59-10657,59,City ANU to Woden via Russell & Barton,sunday,58.46153846153846,14
59-10657,59,City ANU to Woden via Russell & Barton,weekday_offpeak,8.661538461538461,67
59-10657,59,City ANU to Woden via Russell & Barton,weekday_peak,7.033333333333333,32
6-10657,6,Woden to City ANU via Kingston,saturday,14.777777777777779,64
6-10657,6,Woden to City ANU via Kingston,sunday,15.017857142857142,57
6-10657,6,Woden to City ANU via Kingston,weekday_offpeak,6.588888888888889,92
6-10657,6,Woden to City ANU via Kingston,weekday_peak,5.657894736842105,40
60-10657,60,Mawson Loop via O'Malley & Farrer,saturday,66.92307692307692,14
60-10657,60,Mawson Loop via O'Malley & Farrer,sunday,120.0,8
60-10657,60,Mawson Loop via O'Malley & Farrer,weekday_offpeak,32.875,18
60-10657,60,Mawson Loop via O'Malley & Farrer,weekday_peak,30.166666666666668,8
61-10657,61,Mawson Loop via Farrer & O'Malley,saturday,65.0,13
61-10657,61,Mawson Loop via Farrer & O'Malley,sunday,120.0,7
61-10657,61,Mawson Loop via Farrer & O'Malley,weekday_offpeak,31.9375,18
61-10657,61,Mawson Loop via Farrer & O'Malley,weekday_peak,29.833333333333332,8
62-10657,62,Woden to Southlands via Lyons & Pearce,saturday,64.28571428571429,15
62-10657,62,Woden to Southlands via Lyons & Pearce,sunday,120.0,7
62-10657,62,Woden to Southlands via Lyons & Pearce,weekday_offpeak,32.0,18
62-10657,62,Woden to Southlands via Lyons & Pearce,weekday_peak,29.666666666666668,8
63-10657,63,Cooleman Court to Woden via Stirling & Fisher,saturday,32.30769230769231,27
