cluster_id,cluster_name,n_sa1s,total_population,mean_demand_score,mean_supply_score,mean_mismatch_score,median_pt_commute_rate,mean_density,mean_distance_to_stop,mean_weekday_departures,mean_weekend_departures,top_districts
0,Undersupplied Urban,206,90425.0,63.667131868679505,42.27735363996398,21.389778228715524,6.365439964232822,4959.304854368932,293.90616744397477,3.237864077669903,4.223300970873787,"Gungahlin (93), North Canberra (40), Belconnen (36)"
1,Oversupplied Suburban,421,171524.0,44.8377646658783,55.95770897177965,-11.119944305901349,3.597122302158273,1985.0064133016626,454.29966259481165,22.660332541567698,33.67458432304038,"Tuggeranong (148), Belconnen (93), Weston Creek (58)"
2,Suburban Baseline,330,125652.0,45.641740821819624,38.71696004643736,6.9247807753822705,3.3670415381824776,1971.6396969696973,420.7109174792467,0.40606060606060607,0.1803030303030303,"Belconnen (83), Tuggeranong (78), Gungahlin (73)"
3,Urban Core - Well Served,131,51744.0,56.17902455535184,71.50345692918982,-15.324432373837999,7.352941176470589,5874.3106870229,287.24999712811905,56.17557251908397,79.14885496183206,"Belconnen (48), Gungahlin (38), Woden Valley (23)"
