route_short_name,route_long_name,service_type,mean_delay_min,median_delay_min,std_delay_min,observations,pct_ontime_1min,pct_ontime_3min,pct_late_5plus,pct_early_5plus,reliability_score
30,Belconnen to Dickson via Giralang & Kaleen North,weekday_offpeak,-1.12,-0.9,2.14,3779,39.16,78.72,0.0,4.21,88.82
30,Belconnen to Dickson via Giralang & Kaleen North,weekday_peak,-1.33,-0.8,2.14,1446,49.1,79.94,0.0,7.33,86.73
31,Belconnen to City via Kaleen South & Dickson,weekday_offpeak,-2.7,-2.8,2.67,5261,18.7,51.38,1.01,17.49,73.01
31,Belconnen to City via Kaleen South & Dickson,weekday_peak,-2.68,-3.1,2.15,1005,29.75,48.96,0.0,13.53,73.21
32,Belconnen to City via Jamison & Aranda,weekday_offpeak,-0.74,-0.6,1.85,3448,49.54,89.39,0.03,2.35,92.57
32,Belconnen to City via Jamison & Aranda,weekday_peak,-1.5,-1.1,2.02,1176,41.16,79.42,0.0,6.72,84.97
40,Fraser Loop via Kippax & Charnwood,weekday_offpeak,-2.05,-2.3,2.69,5291,21.19,56.61,1.4,11.59,79.47
40,Fraser Loop via Kippax & Charnwood,weekday_peak,-4.49,-4.3,2.59,2188,5.94,32.82,0.0,37.48,55.06
41,Fraser to Belconnen via Flynn & Melba,weekday_offpeak,-1.54,-1.5,1.62,2314,38.59,81.33,0.0,1.73,84.63
41,Fraser to Belconnen via Flynn & Melba,weekday_peak,0.55,0.0,1.92,762,45.28,84.91,0.39,0.0,94.5
42,Fraser Loop via Charnwood & Kippax,weekday_offpeak,-3.11,-4.3,9.73,5241,12.06,32.25,2.31,42.4,68.91
42,Fraser Loop via Charnwood & Kippax,weekday_peak,0.05,0.6,1.44,102,44.12,97.06,0.0,0.0,99.52
43,Spence to Belconnen via Evatt & McKellar,weekday_offpeak,-0.66,-0.7,1.78,1944,45.27,86.68,0.0,0.0,93.44
43,Spence to Belconnen via Evatt & McKellar,weekday_peak,-0.07,0.0,0.88,535,72.15,100.0,0.0,0.0,99.34
44,Kippax to Belconnen via West Macgregor & Higgins,weekday_offpeak,0.39,0.2,1.28,3419,56.92,98.04,0.0,0.03,96.11
44,Kippax to Belconnen via West Macgregor & Higgins,weekday_peak,1.85,3.4,2.59,794,17.0,42.82,0.76,0.0,81.53
45,Kippax to Belconnen via Hawker & Weetangera,weekday_offpeak,0.51,0.5,1.09,2394,62.78,98.04,0.0,0.0,94.92
45,Kippax to Belconnen via Hawker & Weetangera,weekday_peak,0.81,0.8,1.32,762,50.26,95.41,0.0,0.0,91.93
46,Kippax to Belconnen via Latham & Florey,weekday_offpeak,0.53,0.4,1.55,1464,50.89,93.1,0.0,0.0,94.66
46,Kippax to Belconnen via Latham & Florey,weekday_peak,3.71,3.6,1.91,447,4.7,45.64,31.32,0.0,62.9
47,Whitlam Denman Loop,weekday_offpeak,-1.49,-1.6,2.17,2029,29.62,69.99,0.79,2.91,85.06
47,Whitlam Denman Loop,weekday_peak,-3.1,-3.1,1.9,668,13.77,49.1,0.0,16.77,68.98
50,Watson to City via Dickson & Lyneham,weekday_offpeak,-1.69,-1.5,2.16,2778,34.49,69.01,0.0,6.88,83.07
50,Watson to City via Dickson & Lyneham,weekday_peak,-0.08,0.2,2.2,602,33.06,83.72,0.0,2.49,99.22
51,Dickson to City via North Lyneham & O'Connor,weekday_offpeak,0.45,0.3,1.45,1842,57.82,94.63,0.6,0.0,95.47
51,Dickson to City via North Lyneham & O'Connor,weekday_peak,2.63,2.9,1.64,582,14.09,52.41,1.55,0.0,73.7
53,Dickson to National Museum via Hackett & Ainslie,weekday_offpeak,-1.56,-1.5,1.9,2901,32.75,78.08,0.0,3.93,84.44
53,Dickson to National Museum via Hackett & Ainslie,weekday_peak,-3.21,-3.9,2.41,602,22.26,35.55,0.0,20.6,67.93
54,Majura Park Loop via Campbell Park,weekday_offpeak,-3.45,-3.5,2.58,1245,13.98,42.41,0.0,26.99,65.45
54,Majura Park Loop via Campbell Park,weekday_peak,-2.19,-2.55,1.46,72,31.94,68.06,0.0,0.0,78.14
55,ADFA Loop via Campbell & Reid,weekday_offpeak,-1.49,-1.4,2.03,4214,31.87,78.07,0.0,4.86,85.1
55,ADFA Loop via Campbell & Reid,weekday_peak,-2.06,-2.3,1.56,1384,27.31,71.46,0.0,2.38,79.39
56,Fyshwick to City via Red Hill & Kingston,weekday_offpeak,0.04,0.0,1.65,8765,41.24,95.69,0.0,0.0,99.56
56,Fyshwick to City via Red Hill & Kingston,weekday_peak,1.11,1.1,1.66,1998,39.54,87.39,1.5,0.0,88.92
57,Woden to City via Hughes & Yarralumla,weekday_offpeak,1.31,1.4,2.58,3483,31.18,73.18,4.77,3.7,86.86
57,Woden to City via Hughes & Yarralumla,weekday_peak,1.51,1.5,2.1,569,31.46,73.81,2.46,1.23,84.87
58,Woden to City via Curtin & Deakin,weekday_offpeak,-1.5,-0.8,2.81,3524,41.4,76.48,0.0,9.73,85.03
58,Woden to City via Curtin & Deakin,weekday_peak,-3.1,-2.6,1.92,617,11.83,55.92,0.0,22.04,68.95
59,Woden to City ANU via Barton & Russell,weekday_offpeak,-1.3,-1.2,2.29,1853,29.9,71.45,0.0,4.91,86.99
59,Woden to City ANU via Barton & Russell,weekday_peak,2.34,1.7,3.52,490,21.63,59.39,22.45,0.0,76.64
60,Mawson Loop via O'Malley & Farrer,weekday_offpeak,4.1,3.95,2.41,502,6.77,37.85,39.04,0.0,59.03
60,Mawson Loop via O'Malley & Farrer,weekday_peak,1.38,0.95,2.45,484,35.33,70.25,5.37,0.0,86.15
61,Mawson Loop via Farrer & O'Malley,weekday_offpeak,1.94,1.9,1.34,1111,23.76,82.72,2.79,0.0,80.57
61,Mawson Loop via Farrer & O'Malley,weekday_peak,1.87,2.4,1.87,487,36.55,66.32,2.46,0.0,81.32
62,Torrens Loop via Lyons & Pearce,weekday_offpeak,2.4,2.6,2.07,2063,17.6,57.39,7.37,0.0,75.98
62,Torrens Loop via Lyons & Pearce,weekday_peak,4.25,4.5,2.14,672,10.57,21.88,38.99,0.0,57.55
63,Cooleman Court to Woden via Stirling & Fisher,weekday_offpeak,1.14,0.5,2.57,1333,51.01,76.59,11.03,1.43,88.61
63,Cooleman Court to Woden via Stirling & Fisher,weekday_peak,-0.36,-0.3,1.59,332,59.04,92.77,0.3,0.9,96.42
64,Chapman to Woden via Rivett & Cooleman Court,weekday_offpeak,0.54,0.8,1.89,1981,41.6,87.13,0.1,1.11,94.63
64,Chapman to Woden via Rivett & Cooleman Court,weekday_peak,2.31,2.3,3.35,507,13.02,64.3,3.94,0.59,76.92
65,Duffy to Woden via Holder & Cooleman Court,weekday_offpeak,0.73,0.6,1.7,1338,49.48,95.44,0.9,0.0,92.68
65,Duffy to Woden via Holder & Cooleman Court,weekday_peak,1.74,1.7,1.23,127,28.35,83.46,0.0,0.0,82.62
66,Cooleman Court to Woden via Denman Prospect,weekday_offpeak,0.03,0.1,2.1,6018,46.03,83.07,1.55,0.27,99.7
66,Cooleman Court to Woden via Denman Prospect,weekday_peak,1.33,1.3,1.37,885,38.42,90.06,0.34,0.0,86.69
70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday_offpeak,-0.34,0.0,2.2,3158,39.68,85.56,0.03,4.46,96.61
70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday_peak,0.11,0.2,1.35,1061,62.68,97.17,0.0,0.19,98.86
71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday_offpeak,1.74,1.8,1.87,3260,30.0,75.15,3.9,0.34,82.62
71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday_peak,0.96,1.0,1.75,718,42.34,88.02,1.39,0.28,90.39
72,Tuggeranong to Woden via Oxley & Erindale,weekday_offpeak,-0.87,0.0,2.62,3006,40.75,75.42,0.0,11.41,91.25
72,Tuggeranong to Woden via Oxley & Erindale,weekday_peak,-0.75,-0.45,3.09,656,32.62,60.98,1.68,9.91,92.51
73,Tuggeranong to Woden via Monash & Wanniassa,weekday_offpeak,0.71,0.7,3.49,3498,36.54,69.24,3.2,5.89,92.88
73,Tuggeranong to Woden via Monash & Wanniassa,weekday_peak,1.72,-2.9,7.84,48,0.0,22.92,29.17,8.33,82.81
74,Chisholm Loop via Erindale & Richardson,weekday_offpeak,0.24,0.15,1.98,3544,41.85,90.12,3.61,0.23,97.65
74,Chisholm Loop via Erindale & Richardson,weekday_peak,-2.23,-2.3,1.53,1077,21.82,75.67,0.0,3.81,77.74
75,Chisholm Loop via Richardson & Erindale,weekday_offpeak,1.16,1.5,2.21,2331,31.23,72.33,0.82,0.17,88.38
75,Chisholm Loop via Richardson & Erindale,weekday_peak,0.43,0.6,1.53,1023,50.24,95.8,0.0,0.29,95.74
76,Tuggeranong to Woden via Calwell & Erindale,weekday_offpeak,0.32,0.5,3.49,4816,32.97,63.58,9.61,9.59,96.81
76,Tuggeranong to Woden via Calwell & Erindale,weekday_peak,0.15,0.5,2.5,1650,35.39,72.24,1.21,0.67,98.49
77,Tuggeranong to Woden via Gowrie & Erindale,weekday_offpeak,-1.09,-0.2,3.51,3381,31.91,63.59,0.98,17.83,89.1
77,Tuggeranong to Woden via Gowrie & Erindale,weekday_peak,-0.0,0.6,3.03,995,23.52,65.93,4.12,4.62,99.97
78,Richardson Loop via Chisholm,weekday_offpeak,-0.42,0.0,2.49,3384,45.21,85.49,0.06,5.91,95.79
78,Richardson Loop via Chisholm,weekday_peak,-6.7,-6.7,,1,0.0,0.0,0.0,100.0,33.0
79,Calwell to Tuggeranong via Theodore,weekday_offpeak,-0.31,-0.2,2.19,2373,39.02,82.98,1.26,1.85,96.9
79,Calwell to Tuggeranong via Theodore,weekday_peak,4.78,4.95,1.65,408,0.49,17.16,48.04,0.0,52.25
80,Lanyon Marketplace to Tuggeranong via Banks,weekday_offpeak,-0.78,-0.5,2.16,2444,46.73,87.81,0.74,0.74,92.16
80,Lanyon Marketplace to Tuggeranong via Banks,weekday_peak,-0.06,-0.3,1.82,731,31.6,91.79,0.0,0.14,99.42
81,Lanyon Marketplace to Tuggeranong via Gordon,weekday_offpeak,-0.77,-0.7,1.28,3393,53.67,95.34,0.0,0.03,92.32
81,Lanyon Marketplace to Tuggeranong via Gordon,weekday_peak,-0.26,0.0,0.97,1105,73.48,98.82,0.0,0.0,97.37
903,Strathnairn Loop,weekday_offpeak,1.84,1.4,2.42,1764,36.11,70.35,6.46,0.0,81.6
903,Strathnairn Loop,weekday_peak,1.97,1.9,0.91,87,12.64,88.51,0.0,0.0,80.3
